Model Name,Fold,Dataset Trained On,Np Diameter (nm),Np Material,Pixel Scale (nm),Dosage (e/A2)
UNet_2p2nmAu330kX423eUTC_fold0_seed962_model.h5,0,Au_2p2nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,2.2,Au,0.02,423
Unet_2p2nmAu330kX423eUTC_fold1_seed1662_model.h5,1,Au_2p2nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,2.2,Au,0.02,423
Unet_2p2nmAu330kX423eUTC_fold2_seed621_model.h5,2,Au_2p2nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,2.2,Au,0.02,423
Unet_2p2nmAu330kX423eUTC_fold3_seed72115_model.h5,3,Au_2p2nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,2.2,Au,0.02,423
Unet_2p2nmAu330kX423eUTC_fold4_seed45521_model.h5,4,Au_2p2nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,2.2,Au,0.02,423
Unet_5nmAu330kX423eUTC_fold0_seed962_model.h5,0,Au_5nm_330kx_423e_UTC_Team05_Std_Sess0821FFCorr_Images,5,Au,0.02,423
Unet_5nmAu330kX423eUTC_fold1_seed1662_model.h5,1,Au_5nm_330kx_423e_UTC_Team05_Std_Sess0821FFCorr_Images,5,Au,0.02,423
Unet_5nmAu330kX423eUTC_fold2_seed621_model.h5,2,Au_5nm_330kx_423e_UTC_Team05_Std_Sess0821FFCorr_Images,5,Au,0.02,423
Unet_5nmAu330kX423eUTC_fold3_seed72115_model.h5,3,Au_5nm_330kx_423e_UTC_Team05_Std_Sess0821FFCorr_Images,5,Au,0.02,423
Unet_5nmAu330kX423eUTC_fold4_seed45521_model.h5,4,Au_5nm_330kx_423e_UTC_Team05_Std_Sess0821FFCorr_Images,5,Au,0.02,423
Unet_10nmAu330kX425eUTC_fold0_seed962_model.h5,0,Au_10nm_330kx_425e_Std_UTC_FFCorr_Team05_Images,10,Au,0.02,425
Unet_10nmAu330kX425eUTC_fold1_seed1662_model.h5,1,Au_10nm_330kx_425e_Std_UTC_FFCorr_Team05_Images,10,Au,0.02,425
Unet_10nmAu330kX425eUTC_fold2_seed621_model.h5,2,Au_10nm_330kx_425e_Std_UTC_FFCorr_Team05_Images,10,Au,0.02,425
Unet_10nmAu330kX425eUTC_fold3_seed72115_model.h5,3,Au_10nm_330kx_425e_Std_UTC_FFCorr_Team05_Images,10,Au,0.02,425
Unet_10nmAu330kX425eUTC_fold4_seed45521_model.h5,4,Au_10nm_330kx_425e_Std_UTC_FFCorr_Team05_Images,10,Au,0.02,425
Unet_5nmAu330kX80eUTC_fold0_seed962_model.h5,0,Au_5nm_330kx_80e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,80
Unet_5nmAu330kX80eUTC_fold1_seed1662_model.h5,1,Au_5nm_330kx_80e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,80
Unet_5nmAu330kX80eUTC_fold2_seed621_model.h5,2,Au_5nm_330kx_80e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,80
Unet_5nmAu330kX80eUTC_fold3_seed72115_model.h5,3,Au_5nm_330kx_80e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,80
Unet_5nmAu330kX80eUTC_fold4_seed45521_model.h5,4,Au_5nm_330kx_80e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,80
Unet_5nmAu330kX884eUTC_fold0_seed962_model.h5,0,Au_5nm_330kx_884e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,884
Unet_5nmAu330kX884eUTC_fold1_seed1662_model.h5,1,Au_5nm_330kx_884e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,884
Unet_5nmAu330kX884eUTC_fold2_seed621_model.h5,2,Au_5nm_330kx_884e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,884
Unet_5nmAu330kX884eUTC_fold3_seed72115_model.h5,3,Au_5nm_330kx_884e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,884
Unet_5nmAu330kX884eUTC_fold4_seed45521_model.h5,4,Au_5nm_330kx_884e_Std_UTC_FFCorr_Team05_Images,5,Au,0.02,884
Unet_5nmAg330kX423eUTC_fold0_seed962_model.h5,0,Ag_5nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,5,Ag,0.02,423
Unet_5nmAg330kX423eUTC_fold1_seed1662_model.h5,1,Ag_5nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,5,Ag,0.02,423
Unet_5nmAg330kX423eUTC_fold2_seed621_model.h5,2,Ag_5nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,5,Ag,0.02,423
Unet_5nmAg330kX423eUTC_fold3_seed72115_model.h5,3,Ag_5nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,5,Ag,0.02,423
Unet_5nmAg330kX423eUTC_fold4_seed45521_model.h5,4,Ag_5nm_330kx_423e_Std_UTC_FFCorr_Team05_Images,5,Ag,0.02,423
Unet_5nmCdSe330kX421eUTC_fold0_seed962_model.h5,0,CdSe_5nm_330kx_421e_Std_UTC_FFCorr_Team05_Images,5,CdSe,0.02,421
Unet_5nmCdSe330kX421eUTC_fold1_seed1662_model.h5,1,CdSe_5nm_330kx_421e_Std_UTC_FFCorr_Team05_Images,5,CdSe,0.02,421
Unet_5nmCdSe330kX421eUTC_fold2_seed621_model.h5,2,CdSe_5nm_330kx_421e_Std_UTC_FFCorr_Team05_Images,5,CdSe,0.02,421
Unet_5nmCdSe330kX421eUTC_fold3_seed72115_model.h5,3,CdSe_5nm_330kx_421e_Std_UTC_FFCorr_Team05_Images,5,CdSe,0.02,421
Unet_5nmCdSe330kX421eUTC_fold4_seed45521_model.h5,4,CdSe_5nm_330kx_421e_Std_UTC_FFCorr_Team05_Images,5,CdSe,0.02,421
Unet_5nmAu160kX425eUTC_fold0_seed962_model.h5,0,Au_5nm_160kx_425e_Std_UTC_FFCorr_Team05_Images,5,Au,0.042,425
Unet_5nmAu160kX425eUTC_fold1_seed1662_model.h5,1,Au_5nm_160kx_425e_Std_UTC_FFCorr_Team05_Images,5,Au,0.042,425
Unet_5nmAu160kX425eUTC_fold2_seed621_model.h5,2,Au_5nm_160kx_425e_Std_UTC_FFCorr_Team05_Images,5,Au,0.042,425
Unet_5nmAu160kX425eUTC_fold3_seed72115_model.h5,3,Au_5nm_160kx_425e_Std_UTC_FFCorr_Team05_Images,5,Au,0.042,425
Unet_5nmAu160kX425eUTC_fold4_seed45521_model.h5,4,Au_5nm_160kx_425e_Std_UTC_FFCorr_Team05_Images,5,Au,0.042,425
Unet_5nmAu205kX420eUTC_fold0_seed962_model.h5,0,Au_5nm_205kx_420e_Std_UTC_FFCorr_Team05_Images,5,Au,0.033,420
Unet_5nmAu205kX420eUTC_fold1_seed1662_model.h5,1,Au_5nm_205kx_420e_Std_UTC_FFCorr_Team05_Images,5,Au,0.033,420
Unet_5nmAu205kX420eUTC_fold2_seed621_model.h5,2,Au_5nm_205kx_420e_Std_UTC_FFCorr_Team05_Images,5,Au,0.033,420
Unet_5nmAu205kX420eUTC_fold3_seed72115_model.h5,3,Au_5nm_205kx_420e_Std_UTC_FFCorr_Team05_Images,5,Au,0.033,420
Unet_5nmAu205kX420eUTC_fold4_seed45521_model.h5,4,Au_5nm_205kx_420e_Std_UTC_FFCorr_Team05_Images,5,Au,0.033,420
Unet_5nmAu260kX450eUTC_fold0_seed962_model.h5,0,Au_5nm_260kx_450e_Std_UTC_FFCorr_Team05_Images,5,Au,0.026,450
Unet_5nmAu260kX450eUTC_fold1_seed1662_model.h5,1,Au_5nm_260kx_450e_Std_UTC_FFCorr_Team05_Images,5,Au,0.026,450
Unet_5nmAu260kX450eUTC_fold2_seed621_model.h5,2,Au_5nm_260kx_450e_Std_UTC_FFCorr_Team05_Images,5,Au,0.026,450
Unet_5nmAu260kX450eUTC_fold3_seed72115_model.h5,3,Au_5nm_260kx_450e_Std_UTC_FFCorr_Team05_Images,5,Au,0.026,450
Unet_5nmAu260kX450eUTC_fold4_seed45521_model.h5,4,Au_5nm_260kx_450e_Std_UTC_FFCorr_Team05_Images,5,Au,0.026,450
